〇	3007 (ling2)
一	4E00 (yi1)
丁	4E01 (ding1,zheng1)
丂	4E02 (kao3)
七	4E03 (qi1)
丄	4E04 (shang4,shang3)
丅	4E05 (xia4)
丆	4E06 (none0)
万	4E07 (wan4,mo4)
丈	4E08 (zhang4)
三	4E09 (san1)
上	4E0A (shang4,shang3)
下	4E0B (xia4)
丌	4E0C (ji1)
不	4E0D (bu4,bu2,fou3)
与	4E0E (yu3,yu4,yu2)
丏	4E0F (mian3)
丐	4E10 (gai4)
丑	4E11 (chou3)
丒	4E12 (chou3)
专	4E13 (zhuan1)
且	4E14 (qie3,ju1)
丕	4E15 (pi1)
世	4E16 (shi4)
丗	4E17 (shi4)
丘	4E18 (qiu1)
丙	4E19 (bing3)
业	4E1A (ye4)
丛	4E1B (cong2)
东	4E1C (dong1)
丝	4E1D (si1)
丞	4E1E (cheng2)
丟	4E1F (diu1)
丠	4E20 (qiu1)
両	4E21 (liang3)
丢	4E22 (diu1)
丣	4E23 (you3)
两	4E24 (liang3)
严	4E25 (yan2)
並	4E26 (bing4)
丧	4E27 (sang1,sang4,sang5)
丨	4E28 (shu4)
丩	4E29 (jiu1)
个	4E2A (ge4,ge3)
丫	4E2B (ya1)
丬	4E2C (qiang2,pan2)
中	4E2D (zhong1,zhong4)
丮	4E2E (ji3)
丯	4E2F (jie4)
丰	4E30 (feng1)
丱	4E31 (guan4)
串	4E32 (chuan4)
丳	4E33 (chan3)
临	4E34 (lin2)
丵	4E35 (zhuo1)
丶	4E36 (zhu3,dian3)
丷	4E37 (none0)
丸	4E38 (wan2)
丹	4E39 (dan1)
为	4E3A (wei2,wei4)
主	4E3B (zhu3)
丼	4E3C (jing3,dan3)
丽	4E3D (li4,li2)
举	4E3E (ju3)
丿	4E3F (pie3)
乀	4E40 (fu2)
乁	4E41 (yi2)
乂	4E42 (yi4,ai4)
乃	4E43 (nai3)
乄	4E44 (none0)
久	4E45 (jiu3)
乆	4E46 (jiu3)
乇	4E47 (tuo1)
么	4E48 (me5,ma5,yao1)
义	4E49 (yi4)
乊	4E4A (none0)
之	4E4B (zhi1)
乌	4E4C (wu1,wu4)
乍	4E4D (zha4)
乎	4E4E (hu1)
乏	4E4F (fa2)
乐	4E50 (le4,yue4)
乑	4E51 (zhong4)
乒	4E52 (ping1)
乓	4E53 (pang1)
乔	4E54 (qiao2)
乕	4E55 (hu3,hu4)
乖	4E56 (guai1)
乗	4E57 (cheng2,sheng4)
乘	4E58 (cheng2,sheng4)
乙	4E59 (yi3)
乚	4E5A (yin3)
乛	4E5B (none0)
乜	4E5C (mie1,nie4)
九	4E5D (jiu3)
乞	4E5E (qi3)
也	4E5F (ye3)
习	4E60 (xi2)
乡	4E61 (xiang1)
乢	4E62 (gai4)
乣	4E63 (diu1)
乤	4E64 (none0)
乥	4E65 (none0)
书	4E66 (shu1)
乧	4E67 (none0)
乨	4E68 (shi3)
乩	4E69 (ji1)
乪	4E6A (nang1)
乫	4E6B (jia1)
乬	4E6C (none0)
乭	4E6D (shi2)
乮	4E6E (none0)
乯	4E6F (none0)
买	4E70 (mai3)
乱	4E71 (luan4)
乲	4E72 (none0)
乳	4E73 (ru3)
